ROUTEID,R2,MODEL,MAE,RMSE,Weight
15A_85,0.6856488726923059,RFR,-340.22685198634093,-505.34945968347785,0.0016644479266699
53_20,0.5586125077830413,RFR,-452.22089679067454,-659.9774156711743,0.0016518741935128
7A_86,0.4980851572751305,LR,-369.0278308532706,-487.3381620942887,0.0016110095607523
220_12,0.3350357834991282,LR,-518.1131490071615,-783.1978352864584,0.0016031509775291
33_45,0.5306545588392435,RFR,-610.1810436737373,-885.707111742466,0.0015952923943059
104_15,0.5081248255514605,RFR,-327.63078927566806,-462.5539308186885,0.0015874338110828
104_16,0.5599390925754285,RFR,-308.2575067285081,-487.5356113069012,0.0015874338110828
239_28,0.3924111481364441,RFR,-506.8988524690584,-701.23940947429,0.0015339954451651
77A_31,0.6585254212317003,RFR,-495.4207636461565,-754.2583727213208,0.0015277085785866
77A_30,0.6352383347827386,LR,-557.9713338216146,-769.7708129882812,0.0015245651452973
66A_37,0.4707009651092034,RFR,-448.7323513296096,-594.7709771874979,0.0015025611122724
66A_38,0.5227431812661354,RFR,-404.5592638384898,-633.0279360819419,0.0015025611122724
120_13,0.3863269533434971,RFR,-202.12717169125904,-431.75450508535,0.0014899873791153
120_12,0.5217647123763818,LR,-209.50320434570312,-309.4102935791016,0.0014774136459582
220_10,0.4403444041922736,RFR,-439.69692594921554,-864.6514493876721,0.0014758419293136
239_26,0.6486579878074495,RFR,-358.8206334016116,-541.4436037752392,0.0014098298302388
27B_35,0.8683440068529551,RFR,-236.0619476565333,-356.5628977623508,0.0014019712470157
33_72,0.4788372581119985,RFR,-482.36682898866974,-692.7212394626741,0.0013988278137264
31A_26,0.356009138656096,RFR,-312.0900392773529,-452.7799060722181,0.001365821764189
26_26,0.5227046368759759,RFR,-378.9054244409712,-580.4901683815245,0.001365821764189
68_83,0.5633080262548135,RFR,-395.8939523481631,-567.1936280927648,0.0013626783308997
66B_59,0.5872973423426787,RFR,-363.2091504284805,-509.9373784809532,0.0013595348976105
66B_58,0.5725427369065197,RFR,-435.5593204922893,-571.8031779387535,0.0013501045977427
185_56,0.2577478172454134,RFR,-266.4761893508496,-418.3801740139188,0.0013296722813624
31A_25,0.378523774941821,RFR,-489.0822463621309,-690.1361563619525,0.0013218136981392
68_81,0.6027982819347336,RFR,-434.2532386618692,-625.0160453774894,0.0013186702648499
26_24,0.3738082351588334,RFR,-343.7543677179065,-529.0136277824766,0.0013186702648499
151_18,0.3719007192271673,RFR,-266.41264284984805,-416.1175214147132,0.0013108116816267
111_8,0.1901673391940447,LR,-373.3091804069412,-558.7124697644832,0.0012856642153126
7_73,0.6896558306936912,RFR,-299.6906595347112,-429.3245339193522,0.0012322258493949
63_25,0.4868755710777166,RFR,-260.63753832596063,-354.6730983200535,0.001227510699461
63_28,0.467002826552202,RFR,-305.0967940595835,-460.95328848883656,0.0011787874834773
65_77,0.819407117662892,RFR,-433.16097938548256,-684.7120883550042,0.0011473531505846
65_74,0.5506546324150657,KNNR,-563.8267449167832,-888.8607390410876,0.0010876279180884
65_72,0.5740262899218704,RFR,-376.2517460102165,-581.7890357989473,0.001071910751642
65_75,0.8212013444794248,RFR,-412.2986205198612,-559.95873791253,0.0010656238850635
66A_34,0.4198815602154606,RFR,-448.2191038616738,-630.4632717718781,0.0010326178355261
66A_36,0.4513763413043576,RFR,-420.2719373244508,-641.6816549615154,0.0010169006690797
69_47,0.659283514115543,RFR,-420.1788144750467,-593.4343209580247,0.0009320279702694
66B_57,0.5888899691251192,RFR,-400.7113296235413,-552.3407442116619,0.0009194542371123
66B_55,0.4780802500389267,RFR,-474.5073978574269,-640.8496074502698,0.0009178825204676
40B_65,0.5106494716097675,RFR,-308.89502863680235,-475.30538911335617,0.0008911633375088
13_65,0.4628179872166114,RFR,-492.1535911291412,-693.3510120660507,0.0008801613209964
